No,contract_address,payer_address,gas_limit,gas_price,function_name,pre_exec,params,result
1,e4029e8deac08af470c189b1c8eaae1f1d95c37b,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,077fbf45bb3388bb2d1fc2f73f55b44a6236f7f6886f5f9b8c12d46f35c1e0e8
3,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,cfc431d83ea1077d95bcef7371d0f19aa95956acc8480c70cc9942c488969c77
5,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,[NeoVmService] vm execute state fault!
7,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,name,True,,53706f6b6b7a20546f6b656e
9,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,decimals,True,,08
11,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,symbol,True,,53504b5a
13,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,TotalSupply,True,,100000000000000000
15,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,100000000000000000
17,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Approve,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:200,[NeoVmService] vm execute error!: the count under the stack length
19,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Approve,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:200,[NeoVmService] vm execute error!: the count under the stack length
21,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Approve,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:200,[NeoVmService] vm execute error!: the count under the stack length
23,24ea91dbb065fcf75c6e30a9f5c32bfdf53f2379,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Approve,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:200,[NeoVmService] vm execute error!: the count under the stack length
25,d961994b0d78a047cd5870323a19fced0c800271,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,9e9b8e6c7cd27d1f0a9a6eb1f8b34debb0413eb14311481cd19752abac8d70c9
27,d961994b0d78a047cd5870323a19fced0c800271,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,name,True,,53706f6b6b7a20546f6b656e
29,d961994b0d78a047cd5870323a19fced0c800271,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,TotalSupply,True,,100000000000000000
31,d961994b0d78a047cd5870323a19fced0c800271,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,100000000000000000
33,d961994b0d78a047cd5870323a19fced0c800271,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Approve,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:200,[NeoVmService] vm execute error!: the count under the stack length
35,d961994b0d78a047cd5870323a19fced0c800271,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Approve,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:200,[NeoVmService] vm execute error!: the count under the stack length
37,59206dc04bf11b3ed9305a36297265eb7c48ce44,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,2b74db5f6d3b7fe34f3ae42e934b9bbc756a85e9f3659cdf6ab73bcf9512774f
39,59206dc04bf11b3ed9305a36297265eb7c48ce44,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Approve,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:200,[NeoVmService] vm execute error!: the count under the stack length
41,59206dc04bf11b3ed9305a36297265eb7c48ce44,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,[NeoVmService] vm execute state fault!
43,59206dc04bf11b3ed9305a36297265eb7c48ce44,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,[NeoVmService] vm execute state fault!
45,09f8e273da94c3b5fbe6eb120d234a514aca81d7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,d9f8361e36a1f204f4f51557680ef24888aab08782b9edeec0f49a86cb3cba26
47,09f8e273da94c3b5fbe6eb120d234a514aca81d7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Transfer,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:AWf8NiLzXSDf1JB2Ae6YUKSHke4yLHMVCm:1000,[NeoVmService] vm execute state fault!
49,09f8e273da94c3b5fbe6eb120d234a514aca81d7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Transfer,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:AWf8NiLzXSDf1JB2Ae6YUKSHke4yLHMVCm:1000,d934abe59703e81053c4dcb27b9f198c209dbeb22864d4de77dcb82a2a5b8f26
51,09f8e273da94c3b5fbe6eb120d234a514aca81d7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,AWf8NiLzXSDf1JB2Ae6YUKSHke4yLHMVCm,1000
53,09f8e273da94c3b5fbe6eb120d234a514aca81d7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,TransferMulti,False,ANTPeXCffDZCaCXxY9u2UdssB2EYpP4BMh:1,2b89981e8d12fbed7bfc7396d3a3fd2f2f6b5d68a295b2186faaf5579a34e636
55,09f8e273da94c3b5fbe6eb120d234a514aca81d7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,ANTPeXCffDZCaCXxY9u2UdssB2EYpP4BMh,1
57,09f8e273da94c3b5fbe6eb120d234a514aca81d7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Burn,False,500,[NeoVmService] vm execute error!: the count under the stack length
59,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Deploy,False,,00cc6bf5a55812f26d52281ae48e4ae1055ab1e69d34621d1ed11ca0c047306f
61,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,name,True,,53706f6b6b7a20546f6b656e
63,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,decimals,True,,08
65,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,symbol,True,,53504b5a
67,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,TotalSupply,True,,100000000000000000
69,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,100000000000000000
71,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Approve,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:200,0ce800ab3fba6c48a645cc6d50000edae2ef2bd24adfbde4404f2ca879ce139c
73,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Allowance,True,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6,c800
75,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,TransferFrom,False,ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:1,7c6b440705760aac5d781e5aba38dad45c6365931b1ef7a0f09d5be2ab4fe976
77,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6,1
79,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Transfer,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:AWf8NiLzXSDf1JB2Ae6YUKSHke4yLHMVCm:1000,183a99b784d35216536cae3949bd877cb6b396114c01f18b980970501b97d999
81,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,AWf8NiLzXSDf1JB2Ae6YUKSHke4yLHMVCm,1000
83,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,TransferMulti,False,ANTPeXCffDZCaCXxY9u2UdssB2EYpP4BMh:1,9152e4c94c373ddc259ec4ba937cf956a4da85c04c3b2fb24a9948794d323165
85,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Burn,False,500,70f918aa95601aac0f1b97ada2fda95fd60051cf98990c4f7df982f71cac8837
87,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Burn,False,500,f9dc6cee6d8ab353d5cd7ca3bde5980b35954afc7c283abdef775301e157a403
89,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,99999999999997997
91,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Burn,False,500,87f15de39c3e208c527e42f873e2344d7857dbd2dd88a1c091f6d3d2d5b2e91e
93,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,99999999999997497
95,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,TransferOwnership,False,ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6,5e1aed81584fb1f045ffb74776a6be855ca645aa46ff61e5b3becb179c3e8d74
97,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Burn,False,500,[NeoVmService] vm execute state fault!
99,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Burn,False,500,[NeoVmService] vm execute state fault!
101,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Transfer,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:1000,261b6a303c3df9815e17d45e58bf80f1556a3d05cbb3d2295f171b5962a19c02
103,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,Burn,False,500,6ce69ed94270dffda41d3366c3e0db93d91ca304d074e94f6588566174ce1895
105,863af18a4feca1d0654c6c053204de28d17568f7,AUnhXaudVSBFqjH92a6HrhQySUTiQjf5VR,20000,0,BalanceOf,True,ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6,501
